Cost per Customer,250,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Segment,Customers,CLV Increment,Revenue Saved,Campaign Cost,ROI,,,,,,,,,,,,
At Risk,4,18029.10584,72116.42337,1000,71.11642337,,,,,,,,,,,,
At Risk,6,-474.6172942,-2847.703765,1500,-2.898469177,,,,,,,,,,,,
At Risk,12,1803.725201,21644.70241,3000,6.214900804,,,,,,,,,,,,
Champions,12,818.567984,9822.815808,3000,2.274271936,,,,,,,,,,,,
Champions,1,-5044.516142,-5044.516142,250,-21.17806457,,,,,,,,,,,,
Lost,7,22969.65119,160787.5583,1750,90.87860476,,,,,,,,,,,,
Lost,10,116.0705825,1160.705825,2500,-0.53571767,,,,,,,,,,,,
Loyal Customers,2,36962.65066,73925.30132,500,146.8506026,,,,,,,,,,,,
Loyal Customers,4,1562.263116,6249.052464,1000,5.249052464,,,,,,,,,,,,
Loyal Customers,8,8458.53229,67668.25832,2000,32.83412916,,,,,,,,,,,,
Others,10,24630.912,246309.12,2500,97.52364799,,,,,,,,,,,,
Others,12,257.0805923,3084.967108,3000,0.028322369,,,,,,,,,,,,
Potential Loyalist,1,-1885.020573,-1885.020573,250,-8.540082293,,,,,,,,,,,,
Potential Loyalist,2,-1221.109792,-2442.219584,500,-5.884439167,,,,,,,,,,,,
Potential Loyalist,5,2922.187046,14610.93523,1250,10.68874818,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
